epoch,accuracy,loss,val_accuracy,val_loss
0,0.26990270614624023,1.7706540822982788,0.2736138105392456,1.765889048576355
1,0.3125,1.6634087562561035,0.2734745144844055,1.7686676979064941
2,0.27858561277389526,1.753708004951477,0.2713847756385803,1.7584974765777588
3,0.28125,1.898255467414856,0.2716634273529053,1.7581270933151245
4,0.28531575202941895,1.7474117279052734,0.30509892106056213,1.7436121702194214
5,0.34375,1.8583734035491943,0.30565616488456726,1.7417808771133423
6,0.28977927565574646,1.7420357465744019,0.27974367141723633,1.751878023147583
7,0.25,1.7918589115142822,0.28531625866889954,1.7453252077102661
8,0.29347559809684753,1.7376595735549927,0.25842854380607605,1.8097180128097534
9,0.3125,1.7693220376968384,0.2504875957965851,1.8148778676986694
10,0.2985319197177887,1.7292475700378418,0.2588464617729187,2.0084340572357178
11,0.34375,1.63274347782135,0.2550849914550781,2.069486141204834
12,0.2988108992576599,1.725587010383606,0.28657007217407227,1.7351962327957153
13,0.3125,1.725390911102295,0.29074952006340027,1.7291464805603027
14,0.30588972568511963,1.7217788696289062,0.2821120023727417,1.798589825630188
15,0.21875,1.7268065214157104,0.2800222933292389,1.7933263778686523
16,0.3071450889110565,1.7167484760284424,0.31192532181739807,1.7302148342132568
17,0.3125,1.7460826635360718,0.31136807799339294,1.73274564743042
18,0.31321269273757935,1.7119795083999634,0.2899136245250702,1.769068717956543
19,0.4375,1.6372514963150024,0.2982724905014038,1.7323641777038574
20,0.3153747022151947,1.7088637351989746,0.3069100081920624,1.758709192276001
21,0.3125,1.6183545589447021,0.29855114221572876,1.7760525941848755
22,0.31900128722190857,1.7035057544708252,0.2911674678325653,1.818818211555481
23,0.28125,1.7968940734863281,0.3059347867965698,1.7717316150665283
24,0.32304635643959045,1.6982029676437378,0.311786025762558,1.7443503141403198
25,0.46875,1.554399847984314,0.31150737404823303,1.74156653881073
26,0.33113646507263184,1.68220055103302,0.34438562393188477,1.6689428091049194
27,0.5,1.597724199295044,0.3434104323387146,1.669189214706421
28,0.3347979187965393,1.6811738014221191,0.3372805714607239,1.6859815120697021
29,0.3125,1.691385269165039,0.3386737108230591,1.6848384141921997
30,0.3358440697193146,1.6779532432556152,0.3448035717010498,1.6649078130722046
31,0.34375,1.6729638576507568,0.346196711063385,1.6643414497375488
32,0.3388778567314148,1.6762504577636719,0.3471719026565552,1.661889672279358
33,0.375,1.7861435413360596,0.34605738520622253,1.6620368957519531
34,0.3372040390968323,1.67629873752594,0.3364447057247162,1.6697800159454346
35,0.3125,1.6573915481567383,0.33602675795555115,1.6702927350997925
36,0.34079575538635254,1.6746102571487427,0.33881303668022156,1.6796936988830566
37,0.28125,1.691484808921814,0.33881303668022156,1.6794146299362183
38,0.34110960364341736,1.6733759641647339,0.3379771411418915,1.6683015823364258
39,0.40625,1.6007647514343262,0.338534414768219,1.6680887937545776
40,0.3391916751861572,1.6745952367782593,0.34605738520622253,1.6685246229171753
41,0.21875,1.8778626918792725,0.34605738520622253,1.6689074039459229
